user_id,timestamp,device_id,lokasi
2003,2025-10-08 13:03:10,DEV201,Gedung-B-201
2012,2025-10-08 13:04:50,DEV201,Gedung-B-201
2004,2025-10-08 13:05:33,DEV201,Gedung-B-201
2009,2025-10-08 13:06:19,DEV201,Gedung-B-201
2024,2025-10-08 13:06:50,DEV201,Gedung-B-201
2018,2025-10-08 13:07:34,DEV201,Gedung-B-201
2013,2025-10-08 13:08:22,DEV201,Gedung-B-201
2016,2025-10-08 13:09:11,DEV201,Gedung-B-201
2021,2025-10-08 13:10:48,DEV201,Gedung-B-201
2025,2025-10-08 13:12:01,DEV201,Gedung-B-201
2009,2025-10-08 16:05:11,DEV301,Perpustakaan
2038,2025-10-09 08:55:31,DEV202,Gedung-B-202
2041,2025-10-09 08:56:40,DEV202,Gedung-B-202
2034,2025-10-09 08:57:50,DEV202,Gedung-B-202
2028,2025-10-09 08:58:12,DEV202,Gedung-B-202
2047,2025-10-09 08:58:58,DEV202,Gedung-B-202
2031,2025-10-09 08:59:22,DEV202,Gedung-B-202
2045,2025-10-09 09:00:18,DEV101,Gedung-A-101
2037,2025-10-09 09:00:55,DEV202,Gedung-B-202
2040,2025-10-09 09:01:19,DEV202,Gedung-B-202
2026,2025-10-09 09:01:45,DEV202,Gedung-B-202
2032,2025-10-09 09:02:10,DEV202,Gedung-B-202
2050,2025-10-09 09:02:55,DEV202,Gedung-B-202
2029,2025-10-09 09:03:30,DEV202,Gedung-B-202
2043,2025-10-09 09:03:59,DEV202,Gedung-B-202
2033,2025-10-09 09:04:44,DEV202,Gedung-B-202
2030,2025-10-09 09:05:01,DEV202,Gedung-B-202
2035,2025-10-09 09:06:15,DEV202,Gedung-B-202
2046,2025-10-09 09:07:30,DEV202,Gedung-B-202
2039,2025-10-09 09:08:02,DEV202,Gedung-B-202
2049,2025-10-09 09:09:09,DEV202,Gedung-B-202
2042,2025-10-09 09:10:29,DEV202,Gedung-B-202
2011,2025-10-09 11:30:56,DEV301,Perpustakaan
2004,2025-10-09 13:15:01,DEV301,Perpustakaan
2040,2025-10-11 22:30:00,DEV102,Gedung-A-102
2011,2025-10-12 05:15:19,DEV201,Gedung-B-201
2020,2025-10-13 07:56:10,DEV101,Gedung-A-101
2005,2025-10-13 07:57:30,DEV101,Gedung-A-101
2015,2025-10-13 07:58:00,DEV101,Gedung-A-101
2025,2025-10-13 07:58:33,DEV101,Gedung-A-101
2001,2025-10-13 07:59:22,DEV101,Gedung-A-101
2021,2025-10-13 07:59:50,DEV101,Gedung-A-101
2009,2025-10-13 08:00:15,DEV101,Gedung-A-101
2019,2025-10-13 08:00:45,DEV101,Gedung-A-101
2002,2025-10-13 08:01:10,DEV101,Gedung-A-101
2024,2025-10-13 08:01:40,DEV101,Gedung-A-101
2006,2025-10-13 08:02:05,DEV101,Gedung-A-101
2014,2025-10-13 08:02:55,DEV101,Gedung-A-101
2003,2025-10-13 08:03:00,DEV101,Gedung-A-101
2017,2025-10-13 08:03:40,DEV101,Gedung-A-101
2007,2025-10-13 08:05:50,DEV101,Gedung-A-101
2013,2025-10-13 08:06:20,DEV101,Gedung-A-101
2010,2025-10-13 08:07:44,DEV101,Gedung-A-101
2018,2025-10-13 08:08:50,DEV101,Gedung-A-101
2011,2025-10-13 08:09:30,DEV101,Gedung-A-101
2016,2025-10-13 08:10:18,DEV101,Gedung-A-101
2012,2025-10-13 08:11:01,DEV101,Gedung-A-101
2023,2025-10-13 08:12:35,DEV101,Gedung-A-101
2041,2025-10-13 10:15:30,DEV301,Perpustakaan
2008,2025-10-13 11:20:00,DEV301,Perpustakaan
2049,2025-10-14 09:55:18,DEV102,Gedung-A-102
2040,2025-10-14 09:56:05,DEV102,Gedung-A-102
2033,2025-10-14 09:57:01,DEV102,Gedung-A-102
2035,2025-10-14 09:58:20,DEV102,Gedung-A-102
2044,2025-10-14 09:59:00,DEV102,Gedung-A-102
2029,2025-10-14 09:59:33,DEV102,Gedung-A-102
2031,2025-10-14 10:00:15,DEV102,Gedung-A-102
2031,2025-10-14 10:00:44,DEV102,Gedung-A-102
2042,2025-10-14 10:00:48,DEV102,Gedung-A-102
2048,2025-10-14 10:01:28,DEV102,Gedung-A-102
2028,2025-10-14 10:01:55,DEV102,Gedung-A-102
2034,2025-10-14 10:02:40,DEV102,Gedung-A-102
2047,2025-10-14 10:03:00,DEV102,Gedung-A-102
2037,2025-10-14 10:03:33,DEV102,Gedung-A-102
2030,2025-10-14 10:04:12,DEV102,Gedung-A-102
2039,2025-10-14 10:05:55,DEV102,Gedung-A-102
2032,2025-10-14 10:06:50,DEV102,Gedung-A-102
2043,2025-10-14 10:07:22,DEV102,Gedung-A-102
2036,2025-10-14 10:08:10,DEV102,Gedung-A-102
2041,2025-10-14 10:09:40,DEV102,Gedung-A-102
2050,2025-10-14 10:10:45,DEV102,Gedung-A-102
2045,2025-10-14 10:11:15,DEV102,Gedung-A-102
2046,2025-10-14 10:12:50,DEV102,Gedung-A-102
2003,2025-10-14 13:33:01,DEV301,Perpustakaan
2020,2025-10-15 12:55:05,DEV201,Gedung-B-201
2014,2025-10-15 12:56:00,DEV201,Gedung-B-201
2005,2025-10-15 12:57:40,DEV201,Gedung-B-201
2009,2025-10-15 12:58:29,DEV201,Gedung-B-201
2001,2025-10-15 12:59:10,DEV201,Gedung-B-201
2023,2025-10-15 12:59:55,DEV201,Gedung-B-201
2006,2025-10-15 13:00:22,DEV201,Gedung-B-201
2017,2025-10-15 13:00:45,DEV201,Gedung-B-201
2008,2025-10-15 13:01:50,DEV201,Gedung-B-201
2017,2025-10-15 13:01:55,DEV201,Gedung-B-201
2002,2025-10-15 13:02:30,DEV201,Gedung-B-201
2011,2025-10-15 13:03:10,DEV201,Gedung-B-201
2019,2025-10-15 13:04:00,DEV301,Perpustakaan
2004,2025-10-15 13:04:15,DEV201,Gedung-B-201
2012,2025-10-15 13:05:05,DEV201,Gedung-B-201
2007,2025-10-15 13:06:01,DEV201,Gedung-B-201
2024,2025-10-15 13:06:40,DEV201,Gedung-B-201
2010,2025-10-15 13:07:33,DEV201,Gedung-B-201
2018,2025-10-15 13:08:18,DEV201,Gedung-B-201
2013,2025-10-15 13:09:40,DEV201,Gedung-B-201
2025,2025-10-15 13:10:10,DEV201,Gedung-B-201
2016,2025-10-15 13:11:21,DEV201,Gedung-B-201
2021,2025-10-15 13:12:30,DEV201,Gedung-B-201
2022,2025-10-16 02:45:00,DEV301,Perpustakaan
2041,2025-10-16 08:55:00,DEV202,Gedung-B-202
2038,2025-10-16 08:56:10,DEV202,Gedung-B-202
2029,2025-10-16 08:57:22,DEV202,Gedung-B-202
2048,2025-10-16 08:57:55,DEV202,Gedung-B-202
2034,2025-10-16 08:58:50,DEV202,Gedung-B-202
2044,2025-10-16 08:59:15,DEV202,Gedung-B-202
2027,2025-10-16 08:59:40,DEV202,Gedung-B-202
2037,2025-10-16 09:00:40,DEV202,Gedung-B-202
2032,2025-10-16 09:01:30,DEV202,Gedung-B-202
2047,2025-10-16 09:01:55,DEV202,Gedung-B-202
2026,2025-10-16 09:02:11,DEV202,Gedung-B-202
2040,2025-10-16 09:02:50,DEV202,Gedung-B-202
2035,2025-10-16 09:03:15,DEV202,Gedung-B-202
2028,2025-10-16 09:04:01,DEV202,Gedung-B-202
2043,2025-10-16 09:05:10,DEV202,Gedung-B-202
2030,2025-10-16 09:05:55,DEV202,Gedung-B-202
2050,2025-10-16 09:06:40,DEV202,Gedung-B-202
2033,2025-10-16 09:07:07,DEV202,Gedung-B-202
2045,2025-10-16 09:08:30,DEV202,Gedung-B-202
2036,2025-10-16 09:09:20,DEV202,Gedung-B-202
2046,2025-10-16 09:10:15,DEV202,Gedung-B-202
2039,2025-10-16 09:11:00,DEV202,Gedung-B-202
2042,2025-10-16 09:12:45,DEV202,Gedung-B-202
2020,2025-10-16 11:45:10,DEV301,Perpustakaan
2031,2025-10-16 14:00:25,DEV301,Perpustakaan
2006,2025-10-17 09:30:11,DEV301,Perpustakaan
2044,2025-10-17 10:21:54,DEV301,Perpustakaan
2018,2025-10-17 11:15:33,DEV301,Perpustakaan
2035,2025-10-17 14:50:00,DEV301,Perpustakaan
2001,2025-10-17 16:05:49,DEV301,Perpustakaan
